gene,SubGroup-20220427-060001_log2FoldChange,SubGroup-20220427-060001_padj,SubGroup-20220430-004133_log2FoldChange,SubGroup-20220430-004133_padj,SubGroup-20220429-185614_log2FoldChange,SubGroup-20220429-185614_padj,SubGroup-20220421-205602_log2FoldChange,SubGroup-20220421-205602_padj,SubGroup-20220421-025501_log2FoldChange,SubGroup-20220421-025501_padj,SubGroup-20220429-003157_log2FoldChange,SubGroup-20220429-003157_padj,SubGroup-20220425-064702_log2FoldChange,SubGroup-20220425-064702_padj,SubGroup-20220429-130636_log2FoldChange,SubGroup-20220429-130636_padj,SubGroup-20220425-081002_log2FoldChange,SubGroup-20220425-081002_padj,SubGroup-20220419-183523_log2FoldChange,SubGroup-20220419-183523_padj,SubGroup-20220323-140755_log2FoldChange,SubGroup-20220323-140755_padj,SubGroup-20220324-071315_log2FoldChange,SubGroup-20220324-071315_padj,SubGroup-20220322-054649_log2FoldChange,SubGroup-20220322-054649_padj,SubGroup-20220425-114106_log2FoldChange,SubGroup-20220425-114106_padj,SubGroup-20220419-223032_log2FoldChange,SubGroup-20220419-223032_padj,SubGroup-20220324-221313_log2FoldChange,SubGroup-20220324-221313_padj,SubGroup-20220418-141453_log2FoldChange,SubGroup-20220418-141453_padj,SubGroup-20220423-160346_log2FoldChange,SubGroup-20220423-160346_padj,SubGroup-20220321-233956_log2FoldChange,SubGroup-20220321-233956_padj,SubGroup-20220423-200800_log2FoldChange,SubGroup-20220423-200800_padj,SubGroup-20220428-164506_log2FoldChange,SubGroup-20220428-164506_padj,SubGroup-20220419-225028_log2FoldChange,SubGroup-20220419-225028_padj,SubGroup-20220325-000524_log2FoldChange,SubGroup-20220325-000524_padj,SubGroup-20220501-032700_log2FoldChange,SubGroup-20220501-032700_padj,SubGroup-20220428-005140_log2FoldChange,SubGroup-20220428-005140_padj,SubGroup-20220415-113944_log2FoldChange,SubGroup-20220415-113944_padj,SubGroup-20220422-183229_log2FoldChange,SubGroup-20220422-183229_padj,SubGroup-20220322-212513_log2FoldChange,SubGroup-20220322-212513_padj,SubGroup-20220322-144533_log2FoldChange,SubGroup-20220322-144533_padj,SubGroup-20220415-113406_log2FoldChange,SubGroup-20220415-113406_padj,SubGroup-20220423-182806_log2FoldChange,SubGroup-20220423-182806_padj,SubGroup-20220423-120742_log2FoldChange,SubGroup-20220423-120742_padj,SubGroup-log2FC_median,SubGroup-log2FC_mean,NT-TP_log2FoldChange,pvalue,type,SUPPORT,CONFIDENCE,LIFT,COUNT
ABI3BP,1.2311025758446128,1.7174259290281065e-18,,,,,-1.1601733409857125,1.9627805347823867e-14,,,2.220258219466099,2.150352538010322e-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1827560031875763,3.9987943726392543e-14,,,,,,,1.0850887215465097,1.0339847649609661e-13,,,1.001144542725006,3.0222432848161016e-12,1.1073090209183332,3.685046225182928e-13,1.6953739536671971e-12,0.4444990495138449,,,Colorectal Neoplasms,9.963533467508918e-06,1.0,1.1832194707896893,2.0
ABLIM3,,,,,-1.0110365514865636,4.916485308883299e-12,-1.26637349347817,5.324664817826527e-15,-1.0258044190697977,8.850855144278596e-13,,,,,-1.0536070036386267,3.943283532992241e-13,,,,,,,,,,,,,-1.0204624873260146,1.3145190167977588e-11,,,,,,,,,,,,,,,,,,,,,,,,,-1.1335070011919064,1.0997701539578063e-16,,,,,,,,,-0.5055182757432818,-0.5397160947626934,,,,,,,
ACAP1,,,,,,,-1.1422462401905658,1.3337688492379453e-13,,,,,,,-1.1259449235268604,3.2385901933664485e-14,,,,,,,,,,,,,-1.3482704642263197,7.380011203591444e-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5629724617634302,-0.5970620128152871,,,,,,,
ACCN1,,,,,,,,,,,,,,,1.070768131810033,0.000125012236121,1.016629619528603,0.0003385563633609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.017904270492439,0.0003165140992888,,,,,,,,,,,,,0.508484087945982,0.5163665989251183,,,,,,,
ACCN3,,,,,,,,,-1.0205969770686043,1.4229826084248174e-07,,,-1.0181766435993092,2.286113625184853e-07,,,,,,,,,,,,,,,,,-1.0012575310459388,6.526530173068619e-07,,,-1.0395383646127243,2.130751603391216e-07,,,,,,,,,,,,,,,,,-1.1449921127967226,4.329433656289827e-09,,,,,-1.1427107162349228,5.941564632632841e-09,,,,,-0.5006287633582526,-0.5282999893698213,,,,,,,
ACE2,,,,,1.0863684272472562,6.294047074799914e-07,,,1.4716155476865778,6.210244214102723e-13,,,,,1.1624980527564597,8.743345295580137e-08,,,,,,,,,,,,,,,,,,,1.0230859885494616,1.4511385552448217e-06,1.065133272855782,1.5058613447573142e-06,1.0358623767840751,2.553302007118337e-06,,,1.3071250012054925,2.8563628144766154e-10,,,1.0838934348832625,2.820367458729713e-07,,,,,,,1.334353286491375,7.327252087945688e-11,,,1.2477991079648831,2.32875517139592e-09,,,,,0.5115442709257344,0.5871088228197838,,,Colorectal Neoplasms,7.472650100631688e-05,0.7142857142857143,0.8451567648497781,15.0
ACP5,,,,,,,,,,,1.012808463137287,7.982929283492484e-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5064042315686434,0.5064042315686434,,,Colorectal Neoplasms,9.963533467508918e-06,1.0,1.1832194707896893,2.0
ACPP,-1.103563621179287,5.558292642104856e-11,,,-1.3176424351216394,1.3314143681923088e-16,,,-1.3973643179953212,1.3077514727983761e-19,,,-1.179503405008601,1.1982040913299977e-12,,,-1.0962972459396243,7.995756067787989e-11,-1.0404441447262744,1.4774576915325283e-09,,,-1.2279011718536208,1.9640760225622405e-12,-1.1261952738915568,5.0225594733534345e-11,,,-1.1111643832649865,1.0388840739354578e-12,-1.152158271096746,9.229425673309686e-12,-1.0641095419002369,5.457654914478982e-10,-1.1464972199968917,1.511921649304235e-11,-1.110992080266445,3.486211147001279e-11,,,-1.0895434834134698,2.3647897453798223e-10,-1.3290176131155895,1.1550716479309946e-16,,,-1.209954182599228,4.674807021932834e-13,,,,,-1.2642981980199983,5.988681256344415e-15,-1.0788295417756897,3.547139925290008e-11,-1.1176041763276852,4.348473457271289e-11,-1.3366190091586494,1.692922533044327e-16,-1.0465153268251082,3.7978534397953616e-10,,,-0.5202220723631372,-0.5829403886714347,,,,,,,
ACRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0331067256086912,2.041188536179564e-18,,,,,,,,,,,,,,,,,,,0.5165533628043456,0.5165533628043456,,,,,,,
ACSL6,1.015567181870427,7.877636024035596e-05,1.2397128504920023,2.1644290531450046e-06,1.2600432641107724,1.318785710812235e-06,,,1.3417739399060848,1.7065947571104368e-07,,,1.315337277208953,8.36574677639528e-08,,,,,1.147580341422394,5.1156203337428044e-06,,,1.2703497144662304,1.7246517030243831e-06,1.3390860559507902,3.406582262017731e-07,1.2354751926349483,1.9526637264438714e-06,1.3385085765862943,2.40500601243521e-07,,,1.086381066816226,3.677779744397689e-05,1.1343601040550797,9.591066280913714e-06,1.3406505223565277,2.8638346902630295e-07,1.1406038840582546,1.5098388866227417e-05,1.1274992701100848,1.37275360010055e-05,1.4854892178068544,6.632366025163121e-09,1.120109318364598,2.212369370716712e-05,1.198468672294682,4.439847970578208e-06,1.0516983839495633,1.3831752404918289e-05,,,1.4935504676652218,5.42369639075839e-09,,,1.1129206394617714,1.2666191916933782e-05,1.3768209130410374,8.409295355620643e-08,1.211939255368213,3.877952184021949e-07,,,0.5078229791153337,0.6147227660361954,,,Colorectal Neoplasms,1.4945300201263376e-05,1.0,1.1832194707896893,3.0
